IAAS_SERVICE_NAME,	IAAS_REGION,	IAAS_AZONE,		IAAS_SW_BUCKET,	DESCRIPTION,			PROPERTIES_FILE,							STORAGE_ENDPOINT,							SERVICE_ENDPOINT
AWS,				us-east-1,		us-east-1a,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3.amazonaws.com:80,					http://ec2.us-east-1.amazonaws.com:80
AWS,				us-east-1,		us-east-1b,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3.amazonaws.com:80,					http://ec2.us-east-1.amazonaws.com:80
AWS,				us-east-1,		us-east-1c,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3.amazonaws.com:80,					http://ec2.us-east-1.amazonaws.com:80
AWS,				us-east-1,		us-east-1d,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3.amazonaws.com:80,					http://ec2.us-east-1.amazonaws.com:80
AWS,				us-east-1,		us-east-1e,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3.amazonaws.com:80,					http://ec2.us-east-1.amazonaws.com:80
AWS,				us-west-2,		us-west-2b,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3-us-west-2.amazonaws.com:80,		http://ec2.us-west-2.amazonaws.com:80
AWS,				us-west-2,		us-west-2a,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3-us-west-2.amazonaws.com:80,		http://ec2.us-west-2.amazonaws.com:80
AWS,				us-west-1,		us-west-1c,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3-us-west-1.amazonaws.com:80,		http://ec2.us-west-1.amazonaws.com:80
AWS,				us-west-1,		us-west-1b,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3-us-west-1.amazonaws.com:80,		http://ec2.us-west-1.amazonaws.com:80
AWS,				us-west-1,		us-west-1a,		rtws.account.3.appfs,		Amazon Web Services,	/usr/local/rtws/conf/aws.properties,		http://s3-us-west-1.amazonaws.com:80,		http://ec2.us-west-1.amazonaws.com:80
